trips,precipitation,snow_depth,snowfall,max_temperature,min_temperature,average_wind_speed,year,season,month,holiday,stations_in_service,weekday,weekday_non_holiday
36888,0.019685,0,0,73.04,60.98,2.68432,2013,fall,10,FALSE,330,TRUE,TRUE
38122,0,0,0,68,55.04,6.71081,2013,fall,10,FALSE,330,TRUE,TRUE
29548,0.011811,0,0,64.04,51.98,3.3554,2013,fall,10,FALSE,330,FALSE,FALSE
29256,0,0,0,62.96,50,5.59234,2013,fall,10,FALSE,330,FALSE,FALSE
35012,0,0,0,66.02,50,3.80279,2013,fall,10,FALSE,330,TRUE,TRUE
36338,0,0,0,66.92,51.08,4.47387,2013,fall,10,FALSE,330,TRUE,TRUE
32365,0,0,0,55.04,44.96,4.47387,2013,fall,10,FALSE,330,TRUE,TRUE
32251,0,0,0,53.96,41,6.71081,2013,fall,10,FALSE,330,TRUE,TRUE
30979,0,0,0,53.06,39.92,5.14495,2013,fall,10,FALSE,330,TRUE,TRUE
24569,0,0,0,55.04,41,6.26342,2013,fall,10,FALSE,330,FALSE,FALSE
23965,0,0,0,57.92,46.04,5.14495,2013,fall,10,FALSE,330,FALSE,FALSE
31498,0,0,0,60.98,42.98,4.47387,2013,fall,10,FALSE,330,TRUE,TRUE
33414,0,0,0,55.94,44.06,4.92126,2013,fall,10,FALSE,330,TRUE,TRUE
35069,0,0,0,60.08,46.94,2.01324,2013,fall,10,FALSE,330,TRUE,TRUE
31444,0.0590551,0,0,66.02,53.06,3.5791,2013,fall,10,FALSE,330,TRUE,TRUE
30384,0.129921,0,0,69.98,59,4.92126,2013,fall,11,FALSE,330,TRUE,TRUE
31013,0,0,0,68,55.04,3.80279,2013,fall,11,FALSE,330,FALSE,FALSE
20798,0,0,0,55.04,37.04,6.26342,2013,fall,11,FALSE,330,FALSE,FALSE
27142,0,0,0,46.04,35.06,6.48712,2013,fall,11,FALSE,330,TRUE,TRUE
31493,0,0,0,55.04,41,4.02649,2013,fall,11,FALSE,330,TRUE,TRUE
34826,0,0,0,60.98,48.92,3.5791,2013,fall,11,FALSE,330,TRUE,TRUE
25719,0.129921,0,0,64.04,44.06,6.71081,2013,fall,11,FALSE,330,TRUE,TRUE
28686,0,0,0,50,39.92,8.72405,2013,fall,11,FALSE,330,TRUE,TRUE
21734,0,0,0,50,37.94,4.92126,2013,fall,11,FALSE,330,FALSE,FALSE
19712,0,0,0,60.98,44.06,7.60558,2013,fall,11,FALSE,330,FALSE,FALSE
27295,0,0,0,53.06,42.98,6.48712,2013,fall,11,FALSE,330,TRUE,TRUE
19925,0.0314961,0,0,51.98,31.1,6.26342,2013,fall,11,FALSE,329,TRUE,TRUE
23633,0,0,0,39.02,29.12,6.03973,2013,fall,11,FALSE,329,TRUE,TRUE
27040,0,0,0,51.98,33.08,8.05297,2013,fall,11,FALSE,329,TRUE,TRUE
29051,0,0,0,57.02,44.06,4.69757,2013,fall,11,FALSE,330,TRUE,TRUE
25194,0.0511811,0,0,60.08,44.96,2.68432,2013,fall,11,FALSE,330,FALSE,FALSE
17995,0.0314961,0,0,60.08,51.08,3.5791,2013,fall,11,FALSE,330,FALSE,FALSE
30615,0.220472,0,0,64.94,51.08,7.38189,2013,fall,11,FALSE,330,TRUE,TRUE
27417,0,0,0,51.08,35.96,9.17144,2013,fall,11,FALSE,330,TRUE,TRUE
26229,0,0,0,44.06,32,6.9345,2013,fall,11,FALSE,330,TRUE,TRUE
28752,0,0,0,51.98,35.06,4.92126,2013,fall,11,FALSE,330,TRUE,TRUE
25448,0.0708661,0,0,57.02,51.08,6.26342,2013,fall,11,FALSE,330,TRUE,TRUE
18996,0,0,0,53.96,31.1,9.61883,2013,fall,11,FALSE,330,FALSE,FALSE
9392,0,0,0,30.2,23.18,12.0795,2013,fall,11,FALSE,330,FALSE,FALSE
19116,0,0,0,35.06,23.18,5.81603,2013,fall,11,FALSE,330,TRUE,TRUE
14999,0.511811,0,0,46.94,33.08,4.25018,2013,fall,11,FALSE,330,TRUE,TRUE
7976,1.98031,0,0,62.06,35.06,9.61883,2013,fall,11,FALSE,330,TRUE,TRUE
5204,0,0,0,35.06,30.2,7.1582,2013,fall,11,TRUE,330,TRUE,FALSE
10127,0,0,0,39.02,29.12,3.80279,2013,fall,11,TRUE,330,TRUE,FALSE
9863,0,0,0,39.02,25.16,5.14495,2013,fall,11,FALSE,330,FALSE,FALSE
13326,0,0,0,48.92,35.96,1.78955,2013,winter,12,FALSE,330,FALSE,FALSE
24576,0,0,0,48.92,41,3.13171,2013,winter,12,FALSE,330,TRUE,TRUE
27431,0,0,0,53.06,37.94,3.13171,2013,winter,12,FALSE,330,TRUE,TRUE
28199,0,0,0,51.98,41,2.90802,2013,winter,12,FALSE,330,TRUE,TRUE
26988,0.011811,0,0,60.08,48.02,2.46063,2013,winter,12,FALSE,330,TRUE,TRUE
10736,0.728346,0,0,62.06,37.04,5.81603,2013,winter,12,FALSE,330,TRUE,TRUE
15545,0.141732,0,0,41,32,6.03973,2013,winter,12,FALSE,330,FALSE,FALSE
10090,0.0787402,0,0.708661,33.08,29.12,6.26342,2013,winter,12,FALSE,330,FALSE,FALSE
14824,0.299213,0,0,39.02,31.1,6.71081,2013,winter,12,FALSE,330,TRUE,TRUE
12850,0.228346,0,1.41732,37.04,30.2,6.48712,2013,winter,12,FALSE,330,TRUE,TRUE
18766,0,0,0,33.08,27.14,7.60558,2013,winter,12,FALSE,330,TRUE,TRUE
17214,0,0,0,30.2,23.18,7.38189,2013,winter,12,FALSE,329,TRUE,TRUE
17888,0,0,0,35.06,23.18,5.59234,2013,winter,12,FALSE,329,TRUE,TRUE
3701,0.728346,0,5,33.98,22.1,10.0662,2013,winter,12,FALSE,329,FALSE,FALSE
7462,0.720472,3.14961,0,39.92,30.2,8.72405,2013,winter,12,FALSE,329,FALSE,FALSE
15562,0,3.14961,0,33.08,25.16,7.82928,2013,winter,12,FALSE,329,TRUE,TRUE
7863,0.188976,3.14961,1.49606,32,24.26,6.03973,2013,winter,12,FALSE,329,TRUE,TRUE
14924,0,3.93701,0,37.04,23.18,6.71081,2013,winter,12,FALSE,329,TRUE,TRUE
18766,0,3.14961,0,46.94,30.2,4.92126,2013,winter,12,FALSE,329,TRUE,TRUE
22066,0,3.14961,0,53.06,41,5.14495,2013,winter,12,FALSE,329,TRUE,TRUE
17940,0.011811,1.1811,0,64.94,51.08,7.82928,2013,winter,12,FALSE,329,FALSE,FALSE
15063,0,0,0,71.06,60.98,5.59234,2013,winter,12,FALSE,329,FALSE,FALSE
6956,0.511811,0,0,64.04,42.08,4.69757,2013,winter,12,FALSE,329,TRUE,TRUE
11025,0,0,0,42.08,26.24,8.27666,2013,winter,12,TRUE,329,TRUE,FALSE
3260,0,0,0,31.1,19.22,4.69757,2013,winter,12,TRUE,329,TRUE,FALSE
9763,0,0,0,35.96,30.2,5.36865,2013,winter,12,FALSE,329,TRUE,TRUE
11720,0,0,0,39.92,31.1,5.81603,2013,winter,12,FALSE,329,TRUE,TRUE
12022,0,0,0,55.04,35.96,7.1582,2013,winter,12,FALSE,329,FALSE,FALSE
3775,1.20079,0,0,48.02,41,6.03973,2013,winter,12,FALSE,329,FALSE,FALSE
13241,0,0,0,44.96,23.18,6.26342,2013,winter,12,FALSE,329,TRUE,TRUE
10424,0,0,0,32,21.2,5.81603,2013,winter,12,FALSE,329,TRUE,TRUE
6059,0,0,0,33.08,24.26,5.59234,2014,winter,1,TRUE,329,TRUE,FALSE
8600,0.330709,0,3.11024,33.08,18.14,12.3031,2014,winter,1,FALSE,329,TRUE,TRUE
1144,0.291339,5.90551,3.30709,18.14,9.14,10.5136,2014,winter,1,FALSE,329,TRUE,TRUE
2292,0,5.90551,0,29.12,8.24,4.92126,2014,winter,1,FALSE,329,FALSE,FALSE
2678,0.141732,3.93701,0,39.92,27.14,3.80279,2014,winter,1,FALSE,329,FALSE,FALSE
9510,0.358268,1.1811,0,55.04,19.22,8.50036,2014,winter,1,FALSE,329,TRUE,TRUE
6267,0,0,0,19.22,4.1,13.1979,2014,winter,1,FALSE,329,TRUE,TRUE
9246,0,0,0,22.1,9.14,7.1582,2014,winter,1,FALSE,329,TRUE,TRUE
13354,0,0,0,32,22.1,2.90802,2014,winter,1,FALSE,329,TRUE,TRUE
9847,0.110236,0,0,37.04,30.2,3.3554,2014,winter,1,FALSE,329,TRUE,TRUE
7695,0.5,0,0,57.92,37.04,7.1582,2014,winter,1,FALSE,329,FALSE,FALSE
12515,0.0511811,0,0,53.96,37.94,8.27666,2014,winter,1,FALSE,329,FALSE,FALSE
20633,0,0,0,51.08,37.04,5.14495,2014,winter,1,FALSE,329,TRUE,TRUE
9999,0.38189,0,0,51.98,44.06,4.92126,2014,winter,1,FALSE,328,TRUE,TRUE
21630,0,0,0,46.94,39.02,2.90802,2014,winter,1,FALSE,329,TRUE,TRUE
19953,0,0,0,42.08,35.96,4.02649,2014,winter,1,FALSE,329,TRUE,TRUE
20301,0,0,0,44.06,33.08,3.5791,2014,winter,1,FALSE,329,TRUE,TRUE
9438,0.0708661,0,0,41,29.12,7.1582,2014,winter,1,FALSE,329,FALSE,FALSE
9028,0,0,0,37.94,24.26,7.38189,2014,winter,1,FALSE,329,FALSE,FALSE
13407,0,0,0,46.04,31.1,7.38189,2014,winter,1,TRUE,329,TRUE,FALSE
3804,0.46063,0,10.9843,31.1,11.12,10.5136,2014,winter,1,FALSE,329,TRUE,TRUE
2451,0.019685,11.0236,0.511811,17.24,5.18,8.72405,2014,winter,1,FALSE,329,TRUE,TRUE
5071,0,7.08661,0,20.12,7.16,7.1582,2014,winter,1,FALSE,329,TRUE,TRUE
6176,0,5.90551,0,20.12,10.22,8.05297,2014,winter,1,FALSE,329,TRUE,TRUE
4338,0.0393701,3.93701,0.984252,28.22,19.22,7.60558,2014,winter,1,FALSE,329,FALSE,FALSE
4980,0,3.93701,0,33.98,17.24,NA,2014,winter,1,FALSE,329,FALSE,FALSE
13119,0,3.14961,0,44.06,21.2,7.82928,2014,winter,1,FALSE,329,TRUE,TRUE
10033,0,1.1811,0,21.2,12.2,6.03973,2014,winter,1,FALSE,329,TRUE,TRUE
10021,0.0393701,1.9685,0.787402,23.18,14.18,6.48712,2014,winter,1,FALSE,329,TRUE,TRUE
12158,0,0.984252,0,30.2,16.16,3.80279,2014,winter,1,FALSE,329,TRUE,TRUE
14653,0,1.1811,0,39.02,25.16,4.92126,2014,winter,1,FALSE,329,TRUE,TRUE
12771,0,1.1811,0,44.96,35.96,3.5791,2014,winter,2,FALSE,329,FALSE,FALSE
13816,0,1.1811,0,55.94,39.02,3.13171,2014,winter,2,FALSE,329,FALSE,FALSE
2600,1.16929,1.1811,7.99213,42.98,27.14,6.71081,2014,winter,2,FALSE,329,TRUE,TRUE
8709,0,7.87402,0,35.06,22.1,2.23694,2014,winter,2,FALSE,329,TRUE,TRUE
2746,1.42913,9.05512,4.01575,33.98,29.12,7.1582,2014,winter,2,FALSE,329,TRUE,TRUE
7196,0,9.05512,0,32,21.2,4.02649,2014,winter,2,FALSE,329,TRUE,TRUE
8495,0,9.05512,0,32,24.26,6.71081,2014,winter,2,FALSE,329,TRUE,TRUE
5986,0,9.05512,0,29.12,21.2,4.92126,2014,winter,2,FALSE,329,FALSE,FALSE
4996,0.0984252,7.87402,1.1811,31.1,21.2,3.5791,2014,winter,2,FALSE,329,FALSE,FALSE
6846,0,9.84252,0,29.12,21.2,7.1582,2014,winter,2,FALSE,329,TRUE,TRUE
8343,0,9.84252,0,26.24,16.16,5.36865,2014,winter,2,FALSE,329,TRUE,TRUE
8580,0,9.84252,0,25.16,13.1,5.81603,2014,winter,2,FALSE,329,TRUE,TRUE
876,1.77953,11.811,9.48819,35.96,24.26,12.5268,2014,winter,2,FALSE,329,TRUE,TRUE
3609,0.299213,18.1102,2.99213,39.92,31.1,10.5136,2014,winter,2,FALSE,329,TRUE,TRUE
2261,0.129921,18.1102,1.61417,37.04,27.14,9.39513,2014,winter,2,FALSE,329,FALSE,FALSE
3003,0,18.1102,0,30.2,21.2,8.94775,2014,winter,2,FALSE,329,FALSE,FALSE
4854,0,16.9291,0,32,18.14,5.36865,2014,winter,2,TRUE,329,TRUE,FALSE
5140,0.161417,18.1102,1.49606,39.02,26.24,5.14495,2014,winter,2,FALSE,329,TRUE,TRUE
8506,0.259843,16.9291,0,44.96,33.98,5.14495,2014,winter,2,FALSE,329,TRUE,TRUE
11792,0.0314961,14.9606,0,51.08,37.04,4.92126,2014,winter,2,FALSE,329,TRUE,TRUE
8680,0.0905512,12.9921,0,48.92,35.96,7.38189,2014,winter,2,FALSE,329,TRUE,TRUE
13044,0,9.84252,0,53.96,39.92,7.1582,2014,winter,2,FALSE,329,FALSE,FALSE
13324,0,9.05512,0,53.96,42.98,5.36865,2014,winter,2,FALSE,329,FALSE,FALSE
12922,0,5.90551,0,44.06,27.14,9.39513,2014,winter,2,FALSE,329,TRUE,TRUE
12830,0,5.90551,0,33.08,24.26,6.9345,2014,winter,2,FALSE,329,TRUE,TRUE
11188,0.0314961,5.90551,0.19685,31.1,20.12,5.36865,2014,winter,2,FALSE,329,TRUE,TRUE
12036,0,5.90551,0,33.98,14.18,8.50036,2014,winter,2,FALSE,329,TRUE,TRUE
9587,0,5.90551,0,24.26,9.14,4.69757,2014,winter,2,FALSE,329,TRUE,TRUE
9202,0,5.90551,0,37.04,20.12,4.47387,2014,spring,3,FALSE,332,FALSE,FALSE
8195,0,5.11811,0,39.92,32,3.80279,2014,spring,3,FALSE,332,FALSE,FALSE
7708,0.0393701,5.11811,0.11811,32,17.24,6.71081,2014,spring,3,FALSE,332,TRUE,TRUE
10398,0,5.11811,0,29.12,13.1,4.69757,2014,spring,3,FALSE,332,TRUE,TRUE
13801,0,3.93701,0,39.02,26.24,5.14495,2014,spring,3,FALSE,332,TRUE,TRUE
12773,0,3.93701,0,31.1,16.16,8.50036,2014,spring,3,FALSE,332,TRUE,TRUE
13304,0,3.93701,0,37.04,26.24,7.82928,2014,spring,3,FALSE,332,TRUE,TRUE
16350,0,3.14961,0,57.02,35.06,5.81603,2014,spring,3,FALSE,332,FALSE,FALSE
12262,0,1.9685,0,44.06,35.96,6.26342,2014,spring,3,FALSE,332,FALSE,FALSE
17231,0,1.1811,0,51.08,35.96,5.36865,2014,spring,3,FALSE,332,TRUE,TRUE
24356,0,0,0,66.02,44.96,4.69757,2014,spring,3,FALSE,332,TRUE,TRUE
15101,0.350394,0,0,55.94,32,5.36865,2014,spring,3,FALSE,332,TRUE,TRUE
10979,0,0,0,32,18.14,14.0927,2014,spring,3,FALSE,332,TRUE,TRUE
16299,0,0,0,46.04,22.1,5.59234,2014,spring,3,FALSE,332,TRUE,TRUE
18053,0,0,0,57.92,42.08,8.94775,2014,spring,3,FALSE,332,FALSE,FALSE
9851,0,0,0,42.08,30.2,7.60558,2014,spring,3,FALSE,332,FALSE,FALSE
12503,0,0,0,35.06,23.18,8.05297,2014,spring,3,FALSE,332,TRUE,TRUE
16679,0,0,0,42.98,28.22,6.9345,2014,spring,3,FALSE,332,TRUE,TRUE
13341,0.92126,0,0,46.04,32,7.1582,2014,spring,3,FALSE,332,TRUE,TRUE
19695,0,0,0,53.96,39.92,8.05297,2014,spring,3,FALSE,332,TRUE,TRUE
20718,0,0,0,51.08,39.02,7.60558,2014,spring,3,FALSE,332,TRUE,TRUE
19880,0,0,0,62.96,41,6.9345,2014,spring,3,FALSE,332,FALSE,FALSE
11740,0,0,0,42.08,27.14,7.38189,2014,spring,3,FALSE,332,FALSE,FALSE
13598,0,0,0,35.06,21.2,6.71081,2014,spring,3,FALSE,332,TRUE,TRUE
16037,0,0,0,39.02,26.24,5.81603,2014,spring,3,FALSE,332,TRUE,TRUE
14500,0,0,0,35.96,24.26,11.8558,2014,spring,3,FALSE,332,TRUE,TRUE
16666,0,0,0,44.06,22.1,6.71081,2014,spring,3,FALSE,332,TRUE,TRUE
18425,0.0393701,0,0,62.06,37.04,5.36865,2014,spring,3,FALSE,332,TRUE,TRUE
4480,1.81102,0,0,59,42.98,10.7373,2014,spring,3,FALSE,332,FALSE,FALSE
7907,0.350394,0,0,48.92,39.02,10.0662,2014,spring,3,FALSE,332,FALSE,FALSE
17085,0.161417,0,0,55.94,35.96,8.27666,2014,spring,3,FALSE,332,TRUE,TRUE
23908,0,0,0,60.08,39.02,4.69757,2014,spring,4,FALSE,332,TRUE,TRUE
22515,0,0,0,53.96,42.08,2.01324,2014,spring,4,FALSE,332,TRUE,TRUE
26321,0.0708661,0,0,66.92,46.04,3.80279,2014,spring,4,FALSE,332,TRUE,TRUE
12566,0.208661,0,0,46.94,39.92,8.50036,2014,spring,4,FALSE,332,TRUE,TRUE
18655,0,0,0,53.96,39.92,8.50036,2014,spring,4,FALSE,332,FALSE,FALSE
20750,0,0,0,60.98,35.96,4.25018,2014,spring,4,FALSE,332,FALSE,FALSE
14677,0.519685,0,0,53.06,42.98,6.03973,2014,spring,4,FALSE,332,TRUE,TRUE
21884,0.338583,0,0,64.04,46.04,6.9345,2014,spring,4,FALSE,332,TRUE,TRUE
26931,0,0,0,60.98,44.96,6.9345,2014,spring,4,FALSE,332,TRUE,TRUE
27463,0,0,0,57.92,42.08,6.9345,2014,spring,4,FALSE,332,TRUE,TRUE
26798,0,0,0,75.02,55.94,5.81603,2014,spring,4,FALSE,332,TRUE,TRUE
27108,0,0,0,73.04,50,4.25018,2014,spring,4,FALSE,332,FALSE,FALSE
26871,0,0,0,77,53.96,5.81603,2014,spring,4,FALSE,332,FALSE,FALSE
28832,0,0,0,75.02,59,7.38189,2014,spring,4,FALSE,332,TRUE,TRUE
10523,0.708661,0,0,62.96,33.08,8.72405,2014,spring,4,FALSE,332,TRUE,TRUE
20082,0.0511811,0,0,48.92,31.1,7.60558,2014,spring,4,FALSE,332,TRUE,TRUE
22282,0,0,0,48.02,35.96,7.82928,2014,spring,4,FALSE,332,TRUE,TRUE
20770,0,0,0,48.92,35.06,5.36865,2014,spring,4,FALSE,332,TRUE,TRUE
24369,0,0,0,68,41,5.59234,2014,spring,4,FALSE,332,FALSE,FALSE
18464,0,0,0,60.08,44.96,6.26342,2014,spring,4,FALSE,332,FALSE,FALSE
27124,0,0,0,66.92,41,4.25018,2014,spring,4,FALSE,332,TRUE,TRUE
27259,0.011811,0,0,71.06,51.08,5.59234,2014,spring,4,FALSE,332,TRUE,TRUE
26949,0,0,0,60.98,44.06,9.39513,2014,spring,4,FALSE,332,TRUE,TRUE
28107,0,0,0,62.06,42.08,8.50036,2014,spring,4,FALSE,332,TRUE,TRUE
27919,0.019685,0,0,62.96,44.06,4.92126,2014,spring,4,FALSE,331,TRUE,TRUE
19899,0.92126,0,0,66.92,46.04,5.36865,2014,spring,4,FALSE,331,FALSE,FALSE
21926,0,0,0,59,46.94,5.81603,2014,spring,4,FALSE,331,FALSE,FALSE
28557,0,0,0,66.92,44.96,4.25018,2014,spring,4,FALSE,330,TRUE,TRUE
18404,0.0314961,0,0,51.98,42.98,8.94775,2014,spring,4,FALSE,330,TRUE,TRUE
2867,4.9685,0,0,51.98,41,8.27666,2014,spring,4,FALSE,330,TRUE,TRUE
26762,0.11811,0,0,78.08,51.08,4.47387,2014,spring,5,FALSE,331,TRUE,TRUE
32377,0,0,0,69.98,55.94,4.47387,2014,spring,5,FALSE,331,TRUE,TRUE
25501,0.0787402,0,0,71.06,53.96,3.3554,2014,spring,5,FALSE,331,FALSE,FALSE
21277,0.019685,0,0,64.94,53.96,8.27666,2014,spring,5,FALSE,331,FALSE,FALSE
30288,0,0,0,69.98,50,7.38189,2014,spring,5,FALSE,331,TRUE,TRUE
32233,0,0,0,71.06,51.98,3.80279,2014,spring,5,FALSE,331,TRUE,TRUE
32882,0,0,0,69.08,50,4.02649,2014,spring,5,FALSE,331,TRUE,TRUE
17619,0.409449,0,0,59,53.06,4.47387,2014,spring,5,FALSE,331,TRUE,TRUE
22641,0.0393701,0,0,62.96,55.04,3.13171,2014,spring,5,FALSE,331,TRUE,TRUE
21832,0.370079,0,0,82.94,57.02,4.47387,2014,spring,5,FALSE,331,FALSE,FALSE
28326,0.0314961,0,0,82.04,60.08,3.13171,2014,spring,5,FALSE,331,FALSE,FALSE
31644,0,0,0,84.92,64.04,1.78955,2014,spring,5,FALSE,331,TRUE,TRUE
32847,0,0,0,73.04,53.06,7.1582,2014,spring,5,FALSE,330,TRUE,TRUE
